company,role,location,tags
Powered by Pioneer,BD Manager,,"manager, defi, crypto, engineering"
Sanctuary Computer,Senior Elixir Engineer,,"exec, dev, backend, full stack, saas, senior, ruby, python, pyton, django, react native, javascript, node"
P2P. org,Data Analyst,Delhi,"analyst, defi, crypto, system, consultancy, technical, support, growth, finance, api, health"
Ethena Labs,Senior Staff Security Engineer,Globally Remote,"security, defi, crypto, ethereum, full-stack, technical, software, testing, growth, devops, financial, finance, strategy, senior, engineer, engineering"
GoMining,VIP Support Manager,,"manager, defi, crypto, support, management, sales, non tech"
The Trevor Project,Public Training Associate,Remote - United States,"training, support, travel, financial, education, management, senior, operations, operational, legal, health, educational, non tech"
NTD software,FullStack Engineer,Latin America,"dev, design, react, frontend, technical, support, developer, software, code, web, devops, javascript, cloud, css, mobile, engineer, backend, fullstack, digital nomad"
Find,Cryptocurrency Reporter,,"cryptocurrency, crypto, content"
Bonfire Studios,Character Concept Artist,United States,"3d, support, recruiting"
Coins.ph,Strategy Manager,"Taguig City, Metro Manila, Philippines","manager, web3, crypto, cryptocurrencies, support, growth, financial, finance, mobile, strategy, management, operational"
Aragon,Content &amp; Social Lead,Remote - Anywhere,"web3, full-stack, technical, support, software, growth, manager, seo, strategy, management, lead, content, marketing"
The Biz Conquest,Mobile Developer,,"dev, engineer, mobiledev, react native"
Virta Health,Backend Software Engineer Client Group,,"software, frontend, security, training, full-stack, technical, support, code, cloud, operational, golang, medical, health, engineer, engineering, backend"
Deblock,Senior Backend Engineer,,"golang, crypto, fintech, banking, senior, engineer, backend"
CrowdGen by Appen,Payment QR Code from Eye AI,India,"code, qa, mobile"
Machinify,Automation Engineer UI Quality Assurance,Palo Alto,"ui, design, front-end, frontend, docker, software, testing, test, web, qa, healthcare, recruiting, engineer, digital nomad"
Arbitrum Foundation,Developer Relations Engineer,Europe,"developer, web3, cryptocurrency, ethereum, security, technical, growth, code, education, finance, content, health, healthcare, engineer, engineering, recruitment, educational, full-time, digital nomad"
Koala Health,Customer Experience Associate,Remote,"technical, support, web, voice, medical, health, healthcare"
CoinGecko,Human Resources Associate Mid level,,"cryptocurrency, hr, system, training, technical, support, payroll, financial, education, leader, management, operations, operational"
Prophet Security,Backend Software Engineer,,"golang, infosec, software, security, engineer, backend"
lakeFS,Senior Software Engineer,,"golang, software, senior, engineer"
Tolt,Product Engineer,,"javascript, typescript, react, product, aws, engineer"
Included Health,Connected Care Assistant,Remote,"assistant, training, recruiter, support, management, medical, health, healthcare, full-time, non tech"
GoodLeap,Customer Care Advisor,Remote,"supervisor, support, developer, software, management, sales, reliability, digital nomad"
Monzo,Senior Backend Engineer,,"golang, senior, engineer, backend"
Executive Bootcamp,$2.000+ monthly LinkedIn DM reply Job USA TIMEZONE,,"sales, marketing, other"
InfStones,DevOps Engineer,Texas,"amazon, web3, system, security, support, software, testing, test, code, qa, devops, serverless, cloud, git, node, administrator, management, reliability, engineer, linux, full-time"
Peach Finance,Technical Writer,Remote,"system, training, technical, writer, developer, financial, video, finance, api, management, content, senior, marketing, digital nomad"
FetLife,Senior Full Stack Engineer,,"engineer, ruby, vue, redis, rust, kubernetes, work from home, remote, terraform, google cloud, senior, dev, javascript, backend, front end, full time, full stack, sql, postgres, elasticsearch, typescript"
CloudWalk,Customer Support Engineer I Intern,Remote,"technical, support, voice, fintech, ruby, engineer, engineering"
CoinGecko,Account Executive,,"saas, web3, cryptocurrency, training, technical, support, growth, financial, education, fintech, api, leader, strategy, management, senior, operations, operational, marketing, sales, executive"
,,Remote,
Accompany Health,Medical Record Specialist,United States,"education, lead, go, medical, health, healthcare, full-time, non tech"
CertiK,Blockchain Security Expert AI Track,US / Remote,"security, web3, support, software, sales, engineering, full-time"
Anchorage Digital,Growth Marketing Lead,United States,"growth, crypto, security, testing, financial, finance, bank, leader, management, lead, marketing, analytics, legal, engineering"
Mozilla Corporation,Senior Backend Engineer,,"golang, senior, engineer, backend"
Nomi Health,Data Engineer,"Austin, Texas","technical, testing, nosql, medical, engineer, engineering"
WEP Clinical ,Associate Director Clinical Monitoring,"Remote, US","director, training, support, growth, travel, management, lead, senior"
One Medical,Social Programs Manager,"Houston, TX",manager
CloudWalk,Chargeback Analyst,Ṣo Paulo,"analyst, teach, support, code, fintech, operations, operational, engineering"
CEF.Ai,Principal Software Engineer,,"other, dev"
,,,
Welo Data,Korean Japanese Lyric Transliteration Reviewer,,"quality assurance, teaching, part time, remote, freelance, japanese, korean, reviewer, translation"
Socure,Staff Software Engineer Backend,Carson City,"software, design, graphql, system, support, fintech, elasticsearch, lead, analytics, engineer, engineering, apache, backend, digital nomad"
Inkitt,Senior DevOps Engineer,Remote Mexico City,"redis, system, security, support, devops, elasticsearch, c, cloud, postgresql, senior, analytics, reliability, engineer, backend"
Sticker Mule,Software engineer,,"engineer, dev, postgres, docker, redis, kubernetes, gcp"
Coins.ph,KYC Ops Leader,"Taguig City, Metro Manila, Philippines","crypto, cryptocurrencies, training, growth, financial, fintech, mobile, leader, strategy, management, lead, operations, operational"
Tala,Senior Android Engineer,Remote-India,"crypto, financial, fintech, management, senior, android, engineer"
Aprio,Aprio Canada National Tax Office Leader Senior Tax Director,Toronto,"director, training, technical, support, growth, leader, management, lead, senior, executive"
Sayari,Associate Data Engineer,United States,"python, training, software, growth, financial, cloud, engineer, engineering, apache"
CloudWalk,Paid Media Data Analyst,Brasilia,"analyst, technical, growth, financial, investment, fintech, strategy, marketing, analytics, engineering, executive"
Allocate,Senior Software Engineer Backend,California,"software, design, c#, docker, technical, support, developer, code, web, fintech, git, api, strategy, senior, engineer, engineering, backend, digital nomad"
MailerLite,Web Developer,,"front end, dev"
Smartbug Media,Account Strategist,"Remote, United States","strategist, support, growth, director, voice, strategy, management, lead, content, senior, operations, marketing, sales, health, recruiting, e-commerce"
COMPLY,Associate Customer Success Manager,United States,"manager, salesforce, consulting, technical, support, software, growth, financial, investment, leader, management, health"
Panopto,Account Executive Enterprise,Remote - US,"saas, technical, recruiter, support, manager, video, leader, management, senior, sales, health, recruitment, executive"
Harkla,Sales Development Representative,,sales
AscendEX,Senior Front End Engineer,,"design, cryptocurrency, front-end, back-end, software, growth, code, web, financial, management, senior, junior, engineer, engineering, digital nomad"
Coin Market Cap Ltd,Business Data Analyst,,"analyst, crypto, support, growth, web, financial, mobile, operational, analytics"
Backpack ,Infrastructure,,"security, developer, cloud, engineering, digital nomad"
Speechify,Software Engineer Data Infrastructure & Acquisition,,dev
Greenlight Financial Technology,Software Engineer II Full Stack,Atlanta (Remote Friendly),"software, design, technical, recruiter, support, web, finance, financial, fintech, banking, mobile, senior, reliability, health, engineer, engineering, backend, digital nomad"
Right Side Up,Associate Creative Director,"Austin, TX","director, design, financial, lead, junior, marketing, digital nomad"
AFAR,Revenue Operations Manager,"New York, NY","manager, design, support, growth, travel, finance, strategy, management, lead, operations, marketing, sales, digital nomad"
Discern,Fullstack Golang Engineer,,"golang, software, golang, engineer, fullstack"
Tempesta Technologies,C C++ Linux developer,,"linux, c plus plus, c, databases, algorithms, data structures"
Melapress,Content led Marketer,,"marketing, content writing, copywriting"
Melapress,WordPress Plugins & Themes developer,,"dev, devops, wordpress, php, javascript, full time, ecommerce, api, english"
The Block,Marketing Lead,Remote within United States,"web3, crypto, cryptocurrency, salesforce, support, growth, controller, voice, financial, strategy, lead, content, operations, marketing, legal, sales"
Clipbook,Intelligence &amp; Research Analyst,,"analyst, support, strategy, lead"
Injective Labs,Government Relations Officer,,"defi, crypto, technical, growth, financial, finance, leader, strategy, lead, operations, legal, educational, executive"
Greenlight Financial Technology,Software Engineer II Full Stack,Atlanta (Remote Friendly),"software, design, technical, recruiter, support, web, finance, financial, fintech, banking, mobile, senior, reliability, health, engineer, engineering, backend, digital nomad"
Crewvision,UI UX Product Designer,,design
Interaction Design Foundation,Admin and Support Specialist With Love for Writing,,"content writing, customer support, writing"
dLocal,Crypto Compliance Project Manager,,"crypto, manager, cryptocurrency, support, financial, fintech, content, go, health, non tech"
OANDA Europe Ltd.,Head of CRM,London,"cryptocurrencies, support, software, growth, financial, strategy, management, lead, marketing, analytics, recruitment"
Private.Ki,Content Producer Technical Content Engineer Junior Dev,,"other, dev, writer, writing, marketing"
Sword Health,Executive Assistant &amp; Office Manager,Lisboa,"manager, assistant, support, growth, travel, financial, management, sales, medical, health, executive"
Quantum Metric,Account Executive Retail,United States,"saas, training, support, devops, financial, education, leader, android, sales, recruitment, executive, ecommerce"
AllTrails,Senior Product Designer,Remote,"design, ios, training, designer, testing, growth, web, lead, senior, marketing, engineering, digital nomad"
CrowdGen by Appen,Data Collection Participant Photo Submission Task,Any,"training, manager"
Aprio,Aprio PH FP&amp;A Analyst,"Clark, Pampanga","analyst, testing, growth, financial, finance, microsoft, management, senior, executive, full-time"
Heard,Sales Development Representative,Remote,"saas, consult, growth, voice, lead, excel, sales, health"
Gravie,Underwriter,Remote,"design, training, technical, support, growth, financial, education, strategy, management, sales, health, healthcare, digital nomad"
Sensor Tower,Full Stack Engineer,Istanbul,"jira, c#, developer, code, bank, analytics, health, engineer, recruitment, linux, full-time, digital nomad"
Koombea,Senior AI Python Developer,,"python, developer, software, api, senior, engineering, backend, digital nomad"
Slate,User Support Specialist,Remote,"technical, support, lead, content, engineering"
Proof,Senior Software Engineer,"Remote, Boston, MA Preferred","software, design, front-end, back-end, security, technical, support, growth, code, web, manager, cloud, ruby, rails, management, lead, senior, legal, go, engineer, engineering, digital nomad"
Egen,ML Scientist Foundation Model,"Remote, Central US","design, training, technical, support, cloud, legal, health, engineering, digital nomad"
Coins.ph,Exchange Operations Analyst,"Singapore, Singapore","analyst, crypto, cryptocurrencies, system, test, growth, financial, bank, admin, mobile, management, operations"
Voxy Inc,Customer Success Analyst,Ṣo Paulo,"analyst, hr, students, training, consulting, technical, education, leader, management, health"
City IT,QA Analyst,Any US State,"analyst, system, support, software, testing, test, scrum, qa, management, go"
Seaport Global Holdings LLC,Investment Research Associate,Flexible,"accounting, investment, finance, senior, excel, non tech"
HONK,Technical Account Manager,Remote,"manager, design, saas, training, consulting, technical, support, operations, sales, engineering, digital nomad"
The Block,Sales Director,Remote within United States,"director, crypto, cryptocurrency, ceo, support, growth, voice, financial, video, lead, senior, operations, sales, executive"
